key,tau,p,regime,composite-zi,composite,global-slv,const-lam,bucket,garch,pit
KXNHLHART-26-KKUC,235.0,0.09,3,-0.8196826229693435,-0.8196826229693435,-0.17773212784905398,-1.768973179428116,-2.0199733965513937,-3.0474500489553624,0.31596567805101056
KXNHLHART-26-KKUC,234.0,0.09,3,-3.56787120469753,-3.56787120469753,-6.5555616585224055,-2.7849151138832626,-2.5175480905355716,-3.0626570198251555,0.040165250132858564
KXNHLHART-26-KKUC,233.0,0.055,3,-0.8196826229693435,-0.8196826229693435,-0.7415927356358891,-2.093937473682511,-2.0199733965513937,-2.947624226773639,0.6359295679472684
KXNHLHART-26-KKUC,232.0,0.05,3,-0.8196826229693435,-0.8196826229693435,-0.43746247494983503,-1.7463740802153909,-2.0199733965513937,-2.892596225830699,0.5766714486843003
KXNHLHART-26-KKUC,231.0,0.055,3,-0.8196826229693435,-0.8196826229693435,-0.4126576285609803,-1.4514716746407528,-2.0199733965513937,-2.8381155283282076,0.31473601492802794
KXNHLHART-26-KKUC,230.0,0.055,3,-0.8196826229693435,-0.8196826229693435,-0.2109544757341681,-1.4079360532443372,-2.0199733965513937,-2.7839046218500565,0.4622258019626049
KXNHLHART-26-KKUC,229.0,0.055,3,-0.8196826229693435,-0.8196826229693435,-0.1206223648026704,-1.3915281247169764,-2.0199733965513937,-2.730324960318251,0.5662855259025387
KXNHLHART-26-KKUC,228.0,0.055,3,-2.499489368183519,-2.499489368183519,-5.8790393402606025,-2.274680005088908,-2.2411166417091217,-2.736815816795682,0.11453679421687485
KXNHLHART-26-KKUC,227.0,0.04,3,-2.3512482149803744,-2.3512482149803744,-1.9673588597616838,-2.195824283314502,-1.857416631247666,-2.6457679800055494,0.07075493058963905
KXNHLHART-26-KKUC,226.0,0.030000000000000002,3,-2.3512482149803744,-2.3512482149803744,-2.1190460866722978,-1.1403221821079605,-1.8574166312476665,-2.5981144988760496,0.8733440905322297
KXNHLHART-26-KKUC,225.0,0.04,3,-0.3113743401821423,-0.3113743401821423,-0.5052940732012208,-1.1385783742563707,-1.7654397156545079,-2.531798291656155,0.8304648857621733
KXNHLHART-26-KKUC,224.0,0.04,3,-0.3113743401821423,-0.3113743401821423,-0.21858286995360882,-1.1381246913669205,-1.7654397156545079,-2.4822281765759886,0.46466518219018216
KXNHLHART-26-KKUC,223.0,0.04,3,-0.3113743401821423,-0.3113743401821423,-0.10544472906491405,-1.1382078545669168,-1.7654397156545079,-2.433707956422937,0.6483922455801502
KXNHLHART-26-KKUC,222.0,0.04,3,-0.3113743401821423,-0.3113743401821423,-0.06333697184404911,-1.138525979135069,-1.7654397156545079,-2.3863188257676207,0.5147101950929072
KXNHLHART-26-KKUC,221.0,0.04,3,-5.931525471738499,-5.931525471738499,-8.854828009478105,-6.5053582640732355,-2.5932617233835584,-2.6024242528531,0.000329460562950055
