key,band,p0,tau0,budget,evd,evj,full_vd,full_vj,zi_vd,zi_vj,clam_vd,clam_vj
62000346111572597102265747490421944564476171086740885936101329972434114903479,7.0,0.515,6.0,0.249775,0.0003250000000000006,0.26655,0.00032466224172059496,0.25230229664729564,0.000203102758107263,0.250601143993104,0.00029593731513360305,0.24921427257190715
62000346111572597102265747490421944564476171086740885936101329972434114903479,3.0,0.43,3.0,0.2451,0.0003250000000000006,0.257525,0.00015912790456220317,0.24611507584393352,0.00010327395464173144,0.24552938264469873,0.00012913594159743997,0.24359609519566855
20779063998268474490699884714808310289659170477959115489741275295270359962039,30.0,0.655,30.0,0.22597499999999998,0.0007499999999999925,0.09962499999999996,0.001623159943256262,0.2374728551653768,0.0011825068260313957,0.23195884452073365,0.0017431063619165472,0.23399377065987012
20779063998268474490699884714808310289659170477959115489741275295270359962039,14.0,0.665,14.0,0.222775,0.00039999999999999183,0.09962499999999996,0.0007194279000998452,0.22637682876861492,0.0005303186990630654,0.22541864276802862,0.0007749897773235026,0.22220103852189538
20779063998268474490699884714808310289659170477959115489741275295270359962039,7.0,0.685,7.0,0.21577499999999997,0.00039999999999999183,0.09922499999999997,0.00034375941103731184,0.22240479992695414,0.00027849769422975864,0.22251482335702544,0.00034949920160707004,0.21280931620312768
20779063998268474490699884714808310289659170477959115489741275295270359962039,3.0,0.685,3.0,0.21577499999999997,0.00019999999999999592,0.09922499999999997,0.00016168435174988328,0.21787295233845022,0.00010513037777256092,0.2131158636161907,0.0001462759031356322,0.21906592901238614
16733339450778272272777651556206571354576285423443476742857616934917902333657,7.0,0.495,5.0,0.249975,0.0006500000000000012,0.29702500000000004,0.00029661725551063803,0.2489227859899197,0.00017475698648302548,0.252604499237763,0.00023492561945203833,0.25017757768536675
16733339450778272272777651556206571354576285423443476742857616934917902333657,3.0,0.525,3.0,0.24937499999999999,0.00020000000000000036,0.29702500000000004,0.00017058649092924108,0.2493030371300948,9.714366151696417e-05,0.24938618829522297,0.00015382208628525663,0.24887209168163682
54027634480901265800282608109717005006002103524737008017293750051061086996140,7.0,0.545,5.0,0.247975,0.00020000000000000036,0.276025,0.0002636815715392363,0.24711364994783658,0.00019828696726930078,0.2513324538804451,0.00018591623781429297,0.24771403965865255
54027634480901265800282608109717005006002103524737008017293750051061086996140,3.0,0.535,3.0,0.248775,0.00010000000000000018,0.276025,0.0001533654295816137,0.2492666441062769,0.0001239165389229656,0.24821326822717374,0.0001330295418077262,0.24797374735912442
86609985837236781845839606240446398452897349252858448169265355134329136402438,14.0,0.585,12.0,0.24277500000000002,0.0006499999999999923,0.31962499999999994,0.0006738801200285369,0.24951720203613376,0.0004779555811267669,0.24418346257022247,0.0005898354595472516,0.24309220204694804
86609985837236781845839606240446398452897349252858448169265355134329136402438,7.0,0.565,7.0,0.245775,4.999999999999787e-05,0.3192249999999999,0.00040709815161641934,0.24884647200782284,0.00026693367557624866,0.24538700201180133,0.0003184323814267631,0.24566947640661874
86609985837236781845839606240446398452897349252858448169265355134329136402438,3.0,0.565,3.0,0.245775,0.0,0.3192249999999999,0.00015688105664679638,0.24458187122910954,0.00012368755637852275,0.24528702808636063,0.00014310404367799757,0.24455115594136878
7045107161367241233811523851106536676632348173555291268726302515224841822187,30.0,0.07,30.0,0.0651,0.0019722499999999983,0.25115224999999997,0.0009659858851983523,0.12305582605264627,0.0009020319785603256,0.10817613899781785,0.0009542212216107269,0.11230961266698467
7045107161367241233811523851106536676632348173555291268726302515224841822187,14.0,0.095,14.0,0.08597500000000001,0.0009722499999999981,0.24472724999999998,0.00046979425739101285,0.10796567195197287,0.0005156862989557182,0.13006000574969268,0.0005759482374141893,0.11892938366988423
7045107161367241233811523851106536676632348173555291268726302515224841822187,7.0,0.33,7.0,0.2211,0.0002722499999999987,0.21710225,0.0003924712257640793,0.2222938434946574,0.0002871241571925467,0.22156185295863387,0.0003747656191439938,0.21686840137011942
7045107161367241233811523851106536676632348173555291268726302515224841822187,3.0,0.51,3.0,0.2499,0.0002722499999999987,0.15435225,0.00014234982649819644,0.250777831220532,0.00012307013563762814,0.24980238695257223,0.00013906549528277368,0.2502667711291158
50590995350569541543130773217099833464734527698164475480567020627331537312844,30.0,0.1515,30.0,0.12854775,0.0006947499999999998,0.0130835,0.0012695174155639424,0.17706495063357974,0.0010794168572250702,0.16927313010232453,0.00119176066891465,0.17674702215674806
62399506755366091856103403252239953666774135692742608136548156202528220881560,30.0,0.775,30.0,0.17437499999999997,0.0010642499999999992,0.06315024999999998,0.0014337880596444641,0.1936750242699648,0.0011815454347766912,0.2050990867309212,0.0018597892832003266,0.19698379706190586
62399506755366091856103403252239953666774135692742608136548156202528220881560,14.0,0.84,14.0,0.13440000000000002,0.0004392500000000024,0.008000250000000006,0.0006631093534831833,0.1482489648784004,0.00047945256353437894,0.14089359836280865,0.0009080652868879569,0.1497882280427464
43068763180000640829152098796323775498398522416921759912473949776827144598358,30.0,0.405,28.0,0.240975,0.0011499999999999926,0.1722105,0.0014425274297523178,0.2417346644675542,0.001081844079890703,0.24640124666146399,0.0014675496165180973,0.2427616490652784
43068763180000640829152098796323775498398522416921759912473949776827144598358,14.0,0.415,14.0,0.24277499999999996,0.0005499999999999971,0.1722105,0.0007743650656183026,0.24568796887984248,0.0005543505065522892,0.248145706774316,0.0007215133778992883,0.24671783739938416
43068763180000640829152098796323775498398522416921759912473949776827144598358,7.0,0.415,7.0,0.24277499999999996,0.00020000000000000036,0.1722105,0.00040852780415781374,0.24200734442994906,0.0002541685948960306,0.2432574990515458,0.00033027472486223954,0.24301932968684753
43068763180000640829152098796323775498398522416921759912473949776827144598358,3.0,0.415,3.0,0.24277499999999996,0.0,0.17181049999999998,0.0001493682786423958,0.24236302220173592,0.00010850720665094749,0.24685923802932017,0.00012561039506684638,0.24106942025377134
11661882248425579028730127122226588074844109517532906275870117904036267401870,30.0,0.25,30.0,0.1875,0.0020250000000000008,0.180703,0.0012970060130219224,0.2045343625854412,0.0012154448473057696,0.2259191001489117,0.001373694535635302,0.20655515161179053
11661882248425579028730127122226588074844109517532906275870117904036267401870,14.0,0.145,14.0,0.12397499999999999,0.001475,0.0021780000000000002,0.0005749420279265478,0.14560772439735414,0.0005756975088883636,0.15483342888338647,0.0005898647724415344,0.15364950985257605
